Treatment,genotype,length
Control,CLE25_OE_1.1#2,2.19
Control,CLE25_OE_1.1#2,2.622
Control,CLE25_OE_1.1#2,2.673
Control,CLE25_OE_1.1#2,2.276
Control,CLE25_OE_1.1#2,2.209
Control,CLE25_OE_1.1#2,2.829
Control,CLE25_OE_1.1#2,2.13
Control,CLE25_OE_1.1#2,2.761
Control,CLE25_OE_1.1#2,2.884
Control,CLE25_OE_1.1#2,2.953
Control,CLE25_OE_1.1#2,3.268
Control,CLE25_OE_1.1#2,1.982
Control,CLE25_OE_1.1#2,2.141
Control,CLE25_OE_1.1#2,1.95
Control,CLE25_OE_1.1#2,2.903
Control,CLE25_OE_1.1#2,2.449
Control,CLE25_OE_1.1#2,3.398
Control,CLE25_OE_1.1#2,1.956
Control,CLE25_OE_1.1#2,3.038
Control,CLE25_OE_1.1#2,1.761
Control,CLE25_OE_1.1#2,2.362
Control,CLE25_OE_1.1#2,2.701
Control,CLE25_OE_1.1#2,2.211
Control,CLE25_OE_1.1#2,2.412
Control,CLE25_OE_1.1#2,2.509
Control,CLE25_OE_1.1#2,2.533
Control,CLE25_OE_1.1#2,2.602
Control,CLE25_OE_1.1#2,2.323
Control,CLE25_OE_1.1#2,2.776
Control,CLE25_OE_1.1#2,3.405
Control,CLE25_OE_1.1#2,2.862
Control,CLE25_OE_1.1#2,2.349
Control,CLE25_OE_1.1#2,2.524
Control,CLE25_OE_1.1#2,2.458
Control,CLE25_OE_1.1#2,2.077
Control,CLE25_OE_1.1#2,3.222
Control,CLE25_OE_1.1#2,3.631
Control,CLE25_OE_1.1#2,2.481
Control,CLE25_OE_1.1#2,2.963
Control,CLE25_OE_1.1#2,2.106
Control,CLE25_OE_1.1#2,3.16
Control,CLE25_OE_1.1#2,3.062
Control,CLE25_OE_1.1#2,3.266
Control,CLE25_OE_1.1#2,2.418
Control,CLE25_OE_1.1#2,2.867
Control,CLE25_OE_1.1#2,3.043
Control,CLE25_OE_1.1#2,2.678
Control,CLE25_OE_1.1#2,2.481
Control,CLE25_OE_1.1#2,2.152
Control,CLE25_OE_1.1#2,1.798
Control,CLE25_OE_1.1#2,2.543
Control,CLE25_OE_1.1#2,2.11
Sulfate,CLE25_OE_1.1#2,3.323
Sulfate,CLE25_OE_1.1#2,3.689
Sulfate,CLE25_OE_1.1#2,2.521
Sulfate,CLE25_OE_1.1#2,2.152
Sulfate,CLE25_OE_1.1#2,2.665
Sulfate,CLE25_OE_1.1#2,2.38
Sulfate,CLE25_OE_1.1#2,2.114
Sulfate,CLE25_OE_1.1#2,3.175
Sulfate,CLE25_OE_1.1#2,2.491
Sulfate,CLE25_OE_1.1#2,2.922
Sulfate,CLE25_OE_1.1#2,2.718
Sulfate,CLE25_OE_1.1#2,2.942
Sulfate,CLE25_OE_1.1#2,3.211
Sulfate,CLE25_OE_1.1#2,2.095
Sulfate,CLE25_OE_1.1#2,2.364
Sulfate,CLE25_OE_1.1#2,1.69
Sulfate,CLE25_OE_1.1#2,2.38
Sulfate,CLE25_OE_1.1#2,1.679
Sulfate,CLE25_OE_1.1#2,2.143
Sulfate,CLE25_OE_1.1#2,1.972
Sulfate,CLE25_OE_1.1#2,1.898
Sulfate,CLE25_OE_1.1#2,2.088
Sulfate,CLE25_OE_1.1#2,2.311
Sulfate,CLE25_OE_1.1#2,2.093
Sulfate,CLE25_OE_1.1#2,2.209
Sulfate,CLE25_OE_1.1#2,2.476
Sulfate,CLE25_OE_1.1#2,1.884
Sulfate,CLE25_OE_1.1#2,1.63
Sulfate,CLE25_OE_1.1#2,2.905
Sulfate,CLE25_OE_1.1#2,4.304
Sulfate,CLE25_OE_1.1#2,3.09
Sulfate,CLE25_OE_1.1#2,2.544
Sulfate,CLE25_OE_1.1#2,3.042
Sulfate,CLE25_OE_1.1#2,2.154
Sulfate,CLE25_OE_1.1#2,2.127
Sulfate,CLE25_OE_1.1#2,2.038
Sulfate,CLE25_OE_1.1#2,2.685
