gene,days,raw_data,ct_value,dt_ct,x2_dct,mean2dct,sd2dct
Nanog,d0,J1,22.491,6.9559999999999995,0.008054439990584293,0.09086758824444471,0.14124081811788486
Nanog,d0,J2,19.877,4.395999999999999,0.0474976517625474,0.09086758824444471,0.14124081811788486
Nanog,d0,J3,19.164,2.418000000000003,0.18711537334908607,0.09086758824444471,0.14124081811788486
Nanog,d7,J4,21.177,4.667999999999999,0.039336161672026825,0.09086758824444471,0.14124081811788486
Nanog,d7,J5,21.812,4.934000000000001,0.03271282131170547,0.09086758824444471,0.14124081811788486
Nanog,d7,J6,22.303,5.397000000000002,0.023732370153351993,0.09086758824444471,0.14124081811788486
Nanog,d11,J7,22.93,7.436,0.005774853247163447,0.09086758824444471,0.14124081811788486
Nanog,d11,J8,22.915,7.4129999999999985,0.00586765596461301,0.09086758824444471,0.14124081811788486
Nanog,d11,J9,17.831,1.2369999999999983,0.4242539508529486,0.09086758824444471,0.14124081811788486
Nanog,d15,J10,15.848,1.2520000000000007,0.41986574647207,0.09086758824444471,0.14124081811788486
Nanog,d15,J11,20.295,4.581000000000001,0.041781265481410416,0.09086758824444471,0.14124081811788486
Nanog,d15,J12,20.492,5.859000000000002,0.01722920567295175,0.09086758824444471,0.14124081811788486
Nanog,d16,J13,21.168,5.347999999999999,0.02455226614586191,0.09086758824444471,0.14124081811788486
Nanog,d16,J14,20.984,4.575000000000003,0.04195539071188315,0.09086758824444471,0.14124081811788486
Nanog,d16,J15,20.974,4.530000000000001,0.043284670878466366,0.09086758824444471,0.14124081811788486
oct4,d0,K1,17.91,2.375,0.1927763531759926,0.13251452775754582,0.12203524050621974
oct4,d0,K2,17.681,2.200000000000001,0.2176376408240309,0.13251452775754582,0.12203524050621974
oct4,d0,K3,17.682,0.9359999999999999,0.5226800501025824,0.13251452775754582,0.12203524050621974
oct4,d7,K4,21.113,4.603999999999999,0.04112045390715653,0.13251452775754582,0.12203524050621974
oct4,d7,K5,21.479,4.600999999999999,0.04120605045288648,0.13251452775754582,0.12203524050621974
oct4,d7,K6,20.807,3.901,0.06693942644946595,0.13251452775754582,0.12203524050621974
oct4,d11,K7,19.617,4.123000000000001,0.05739226014380769,0.13251452775754582,0.12203524050621974
